year,file_name,format,contains_answers,status,notes
2008,2008年上海市中考英语试题及答案.doc,doc,yes,archived,原始文件名包含试题及答案
2009,2009年上海市中考英语试卷及答案.doc,doc,yes,archived,原始文件名包含试卷及答案
2010,2010年上海市中考英语试卷及答案.doc,doc,yes,archived,原始文件名包含试卷及答案
2011,2011年上海市中考英语试卷及答案.doc,doc,yes,archived,原始文件名包含试卷及答案
2012,2012年上海市中考英语试卷及答案.doc,doc,yes,archived,原始文件名包含试卷及答案
2013,2013年上海市中考英语试卷及答案.docx,docx,yes,archived,原始文件名包含试卷及答案
2014,2014年上海市中考英语试卷及答案.doc,doc,yes,archived,原始文件名包含试卷及答案
2015,2015年上海市中考英语试卷及答案.doc,doc,yes,archived,原始文件名包含试卷及答案
2016,2016年上海市中考英语试卷及答案.docx,docx,yes,archived,原始文件名包含试卷及答案
2017,2017年上海市中考英语试卷及答案.docx,docx,yes,archived,原始文件名包含试卷及答案
2018,2018年上海市中考英语试卷及答案.doc,doc,yes,archived,原始文件名包含试卷及答案
2019,2019年上海市中考英语试卷和答案.docx,docx,yes,archived,原始文件名包含试卷和答案
2020,2020年上海市中考英语试卷和答案.docx,docx,yes,archived,原始文件名包含试卷和答案
2021,2021年上海市中考英语试卷和答案.doc,doc,yes,archived,原始文件名包含试卷和答案
